,Book,Author,Description,Genres,Year of Publication,Publisher_x,URL,Aggregated Emotions,Aggregated Des Emotions,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher_y,Image-URL-S,Image-URL-M,Image-URL-L
0,my idea of fun,will self,self established one brilliant daring inventive writers generation idea fun self ’ highly acclaimed first novel story devilishly clever international financier marketing wizard young apprentice idea fun frighteningly dark subterranean exploration capitalism run rampant wickedly sharp technically acute display linguistic pyrotechnics glows pure white hot brilliance ian wharton ordinary young man taken wing gentleman known variously mr broadhurst samuel northcliff finally simply fat controller loudmouthed impeccably tailored fount bombastic erudition fat controller initiates ian dark secrets arts marketing money human psyche takes ian reader wild voyage around edges reality careen twenty first century self perfectly captures zeitgeist money common language consumerism violence psychosis drug induced otherwise prevail human soul become ultimate product ,Fiction,1995,Vintage,https://www.goodreads.com/book/show/119116.My_Idea_of_Fun,"[(' happy', 9), (' sad', 7), (' fearful', 6), (' anxious', 3), (' attracted', 2), (' embarrassed', 2), (' adequate', 1), (' codependent', 1), (' demoralized', 1), (' ecstatic', 1), (' surprise', 1), (' bored', 1), (' cheated', 1), (' hated', 1), (' obsessed', 1), (' powerless', 1), (' attached', 1)]","[(' average', 60), (' sad', 60), (' fearless', 30)]",0679750932,my idea of fun,WILL SELF,1995,Vintage,http://images.amazon.com/images/P/0679750932.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679750932.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679750932.01.LZZZZZZZ.jpg
1,the magic mountain,thomas mann,dizzyingly rich novel ideas mann uses sanatorium swiss alps community devoted exclusively sickness microcosm europe years 1914 already exhibiting first symptoms terminal irrationality magic mountain monumental work erudition irony sexual tension intellectual ferment book pulses life midst death ,Fiction,1996,Vintage,https://www.goodreads.com/book/show/88077.The_Magic_Mountain,"[(' happy', 32), (' attracted', 16), (' sad', 15), (' fearless', 9), (' average', 6), (' lost', 6), (' powerless', 5), (' alone', 4), (' entitled', 4), (' attached', 4), (' hated', 4), (' esteemed', 4), (' angry', 4), (' fearful', 4), (' bored', 3), (' adequate', 3), (' free', 2), (' focused', 2), (' belittled', 1), (' anxious', 1), (' loved', 1), (' singled out', 1), (' apathetic', 1), (' surprise', 1), (' obsessed', 1)]",[],0679772871,the magic mountain,THOMAS MANN,1996,Vintage,http://images.amazon.com/images/P/0679772871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679772871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679772871.01.LZZZZZZZ.jpg
3,the drifters,james a. michener,triumphant best seller james michener unfolds powerful poignant drama six young runaways adrift world created dreams drugs dedication pleasure sure touch master michener pulls us dark center private world whether spain marrakech mozambique exposes naked nerve ends shocking candor infinite compassion superior picaresque novel revealing mirror held contemporary society john barkham reviews ,Fiction,1986,Fawcett Books,https://www.goodreads.com/book/show/42955.The_Drifters,"[(' happy', 18), (' free', 8), (' attracted', 8), (' sad', 6), (' attached', 4), (' powerless', 3), (' hated', 3), (' loved', 3), (' demoralized', 2), (' esteemed', 2), (' surprise', 1), (' derailed', 1), (' fearful', 1), (' independent', 1), (' ecstatic', 1), (' apathetic', 1), (' adequate', 1), (' anxious', 1), (' obsessed', 1), (' focused', 1), (' codependent', 1)]","[(' sad', 29)]",0449213536,the drifters,James A. Michener,1986,Fawcett Books,http://images.amazon.com/images/P/0449213536.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449213536.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449213536.01.LZZZZZZZ.jpg
5,the golden notebook,doris lessing,anna writer author one successful novel keeps four notebooks one black cover reviews african experience earlier year red one records political life disillusionment communism yellow one writes novel heroine relives part experience blue one keeps personal diary finally love american writer threatened insanity anna tries bring threads four books together golden notebook ,Fiction,1981,Bantam,https://www.goodreads.com/book/show/24100.The_Golden_Notebook,"[(' sad', 33), (' happy', 28), (' attracted', 26), (' free', 24), (' fearful', 19), (' attached', 11), (' adequate', 8), (' loved', 8), (' lost', 8), (' lustful', 8), (' angry', 7), (' fearless', 6), (' alone', 6), (' entitled', 5), (' hated', 5), (' demoralized', 4), (' surprise', 4), (' powerless', 4), (' average', 3), (' obsessed', 3), (' esteemed', 2), (' apathetic', 2), (' codependent', 1), (' belittled', 1), (' singled out', 1), (' cheated', 1), (' anxious', 1), (' independent', 1), (' derailed', 1)]","[(' fearful', 60), (' sad', 30)]",0553262106,the golden notebook,DORIS LESSING,1981,Bantam,http://images.amazon.com/images/P/0553262106.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553262106.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553262106.01.LZZZZZZZ.jpg
9,the missing piece meets the big o,shel silverstein,shel silverstein celebrated author giving tree sidewalk ends comes missing piece meets big charming fable gently probes nature individuality self fulfillment missing piece sat alonewaiting someoneto come alongand take somewhere different ones encounters – discovers helplessness – portrayed simplicity compassion words drawings shel silverstein miss runny babbit returns 2017 new sequel book shel silverstein ,Fiction,1981,HarperCollins,https://www.goodreads.com/book/show/30125.The_Missing_Piece_Meets_the_Big_O,"[(' alone', 4), (' fearful', 1), (' attracted', 1), (' sad', 1), (' free', 1)]",[],0060256575,the missing piece meets the big o,Shel Silverstein,1981,HarperCollins,http://images.amazon.com/images/P/0060256575.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060256575.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060256575.01.LZZZZZZZ.jpg
10,'salem's lot,stephen king,librarian note alternate cover edition isbn 0450031063thousands miles away small township salem lot two terrified people man boy still share secrets clapboard houses tree lined streets must return salem lot final confrontation unspeakable evil lives town ,Fiction,1990,Signet Book,https://www.goodreads.com/book/show/11590._Salem_s_Lot,"[(' happy', 23), (' attached', 18), (' sad', 14), (' loved', 10), (' attracted', 8), (' fearful', 7), (' angry', 7), (' hated', 5), (' alone', 4), (' average', 4), (' lost', 4), (' surprise', 4), (' fearless', 3), (' powerless', 3), (' demoralized', 2), (' focused', 2), (' embarrassed', 2), (' independent', 2), (' ecstatic', 2), (' belittled', 1), (' free', 1), (' singled out', 1), (' anxious', 1)]","[(' fearful', 29)]",0451168089,'salem's lot,Stephen King,1990,Signet Book,http://images.amazon.com/images/P/0451168089.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451168089.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451168089.01.LZZZZZZZ.jpg
13,gerald's game,stephen king,game husband wife game gerald game time jessie want play lying spreadeagled handcuffed bedstead loomed drooled felt angry humiliated kicked hard aimed hit hurt dead coronary floor leaving jessie alone helpless lakeside holiday cabin miles nowhere one hear screams alone except voices head begun chatter argue sneer ,Fiction,2001,Signet Book,https://www.goodreads.com/book/show/32692.Gerald_s_Game,"[(' entitled', 14), (' fearful', 11), (' sad', 10), (' attached', 10), (' loved', 9), (' happy', 8), (' attracted', 6), (' alone', 6), (' fearless', 5), (' anxious', 4), (' average', 3), (' free', 2), (' embarrassed', 2), (' independent', 2), (' powerless', 2), (' esteemed', 2), (' lost', 1), (' hated', 1), (' surprise', 1), (' safe', 1), (' singled out', 1), (' angry', 1), (' lustful', 1), (' adequate', 1), (' focused', 1), (' ecstatic', 1), (' cheated', 1)]","[(' sad', 56), (' alone', 56), (' angry', 28)]",0451176464,gerald's game,Stephen King,2001,Signet Book,http://images.amazon.com/images/P/0451176464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451176464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451176464.01.LZZZZZZZ.jpg
18,i know this much is true,wally lamb,afternoon october 12 1990 twin brother thomas entered three rivers connecticut public library retreated one rear study carrels prayed god sacrifice commit would deemed acceptable one acclaimed novels time wally lamb know much true story alienation connection devastation renewal joyous heartbreaking poignant mystical powerfully profoundly human ,Fiction,1999,Regan Books,https://www.goodreads.com/book/show/227711.I_Know_This_Much_Is_True,"[(' happy', 15), (' attracted', 11), (' attached', 10), (' sad', 8), (' loved', 8), (' angry', 8), (' independent', 3), (' focused', 3), (' fearless', 3), (' powerless', 2), (' lost', 2), (' surprise', 2), (' esteemed', 2), (' embarrassed', 1), (' singled out', 1), (' fearful', 1), (' adequate', 1), (' burdened', 1), (' apathetic', 1), (' demoralized', 1), (' ecstatic', 1)]","[(' happy', 27)]",0060987561,i know this much is true,Wally Lamb,1999,Regan Books,http://images.amazon.com/images/P/0060987561.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060987561.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060987561.01.LZZZZZZZ.jpg
22,horton hatches the egg,dr. seuss,beloved generations kindness loyalty horton elephant one iconic honorable characters children literature – well star two books short story dr seuss horton hatches egg horton hears horton kwuggerbug everyone laughs horton elephant offers sit mayzie bird egg goes holiday horton kindness faithfulness sorely tested egg kidnapped sold circus – reward faithful wonderful could ever dreamed unique combination hilarious stories zany pictures riotous rhymes dr seuss delighting young children helping learn read fifty years creator wonderfully anarchic cat hat ranked among world top children authors dr seuss global best seller nearly half billion books sold worldwide ,Fiction,1966,Random House Children's Books,https://www.goodreads.com/book/show/11301.Horton_Hatches_the_Egg,"[(' happy', 14), (' apathetic', 10), (' attached', 5), (' powerless', 4), (' loved', 4), (' entitled', 3), (' focused', 3), (' attracted', 2), (' sad', 2), (' free', 2), (' angry', 2), (' derailed', 1), (' alone', 1), (' adequate', 1), (' independent', 1), (' hated', 1), (' singled out', 1), (' bored', 1)]","[(' happy', 30)]",039480077X,horton hatches the egg,Dr. Seuss,1966,Random House Children's Books,http://images.amazon.com/images/P/039480077X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039480077X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039480077X.01.LZZZZZZZ.jpg
23,"look homeward, angel",thomas wolfe,look homeward angel story buried life 1929 novel thomas wolfe wolfe first novel considered highly autobiographical american bildungsroman character eugene gant generally believed depiction wolfe novel covers span time gant birth age 19 setting fictional town state altamont catawba fictionalization home town asheville north carolina playwright ketti frings wrote theatrical adaptation wolfe work 1957 play title ,Fiction,1995,Scribner,https://www.goodreads.com/book/show/12448.Look_Homeward_Angel,"[(' happy', 29), (' lost', 19), (' sad', 14), (' alone', 10), (' attached', 9), (' loved', 6), (' fearful', 5), (' fearless', 4), (' angry', 3), (' hated', 3), (' lustful', 3), (' powerless', 3), (' singled out', 3), (' esteemed', 3), (' free', 2), (' attracted', 2), (' average', 2), (' adequate', 2), (' derailed', 2), (' anxious', 1), (' belittled', 1), (' bored', 1), (' demoralized', 1), (' obsessed', 1), (' apathetic', 1)]",[],0684804433,"look homeward, angel",Thomas Wolfe,1995,Scribner,http://images.amazon.com/images/P/0684804433.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684804433.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684804433.01.LZZZZZZZ.jpg
